Product,Brand,Pack size,Role,COST (supplier),PRICE,'Was' price,Discount shown,Gross profit,Gross margin,Mark-up on cost,Contribution per order,Contribution margin,Break-even ROAS,Courier cost at this weight,Customer pays (outside Dhaka),We absorb per single-item order,Pet Zone BD,Pet Elements BD,Miki Pet Store,SB Pet Shop,AmarPet,BD Pet Mart,Mew Mew Shop BD,Pet Town BD,Pure Pets Food,Arogga,Rokomari,Daraz (marketplace),Cheapest rival,Market median,Highest genuine selling price,Where our price sits
"Reflex Plus Kitten, Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,৳246,20.7%,4.8x,৳110,৳130,৳0,"৳1,050","৳1,050","৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,090","৳1,250",Dearer than 3 of 5
Reflex Plus Mother & Baby,Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,৳246,20.7%,4.8x,৳110,৳130,৳0,"৳1,050","৳1,050","৳1,090",,"৳1,050","৳1,200",,,,"৳1,116",,"৳1,600","৳1,050","৳1,090","৳1,200",Dearer than 5 of 7
Reflex Plus Mother & Baby,Reflex Plus,8 kg,"MONOPOLY, nobody else sells it","৳3,800","৳5,200","৳6,340",18.0%,"৳1,400",27%,37%,৳981,18.9%,5.3x,৳240,৳130,৳110,,,,,,,,,,,,,,,,No competitor sells it
"Reflex Plus Sterilised, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,৳246,20.7%,4.8x,৳110,৳130,৳0,"৳1,050",,"৳1,090","৳1,150",,,,,,,,,"৳1,050","৳1,090","৳1,150",Dearer than 3 of 3
"Reflex Plus Sterilised, Chicken",Reflex Plus,15 kg,"MONOPOLY, nobody else sells it","৳6,100","৳8,200","৳9,900",17.2%,"৳2,100",26%,34%,"৳1,400",17.1%,5.9x,৳380,৳130,৳250,,,,,,,,,,,,,,,,No competitor sells it
"Reflex Plus Adult, Skin & Coat Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,৳246,20.7%,4.8x,৳110,৳130,৳0,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050","৳1,200",,,,,,"৳1,545","৳1,050","৳1,090","৳1,250",Dearer than 4 of 7
"Reflex Plus Adult, Choosy Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,৳246,20.7%,4.8x,৳110,৳130,৳0,"৳1,050",,"৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,145","৳1,250",Dearer than 2 of 4
"Prostar Adult, Chicken",Prostar,15 kg,Bulk,"৳4,100","৳5,400","৳6,580",17.9%,"৳1,300",24%,32%,৳744,13.8%,7.3x,৳380,৳130,৳250,"৳4,900","৳5,200",,,,,,,,,,,"৳4,900","৳5,050","৳5,200",Dearer than 2 of 2
"Prostar Kitten, Chicken",Prostar,15 kg,Bulk,"৳4,100","৳5,400","৳6,580",17.9%,"৳1,300",24%,32%,৳744,13.8%,7.3x,৳380,৳130,৳250,"৳4,900",,,,,,,,,,,,"৳4,900","৳4,900","৳4,900",Dearer than 1 of 1
"Prostar Sterilised, Salmon (Adult & Kitten)",Prostar,1.2 kg,"ADD-ON ONLY, never advertised",৳370,৳500,৳610,18.0%,৳130,26%,35%,n/a,n/a,n/a,৳104,৳130,৳0,৳480,৳470,,,,,,,,,,,৳470,৳475,৳480,Dearer than 2 of 2
"Prostar Adult Sterilised, Salmon",Prostar,1.2 kg,"ADD-ON ONLY, never advertised",৳370,৳500,৳610,18.0%,৳130,26%,35%,n/a,n/a,n/a,৳104,৳130,৳0,৳480,৳470,,,,,,,,,,,৳470,৳475,৳480,Dearer than 2 of 2

REFERENCE BASKET: 2 x 1.5 kg in one parcel,Reflex Plus,3 kg total,Target order shape,"৳1,680","৳2,380","৳2,900",17.9%,৳700,29%,42%,৳407,17.1%,5.8x,৳140,৳0,৳140,,,,,,,,,,,,,,,,"Free delivery, 2+ items"
