Product,Brand,Pack size,Role,COST (supplier),PRICE,'Was' price,Who publishes that 'was',Discount shown,Gross profit,Gross margin,Mark-up on cost,Contribution per order,Contribution margin,Break-even ROAS,Who pays delivery,Pet Zone BD,Pet Elements BD,Miki Pet Store,SB Pet Shop,AmarPet,BD Pet Mart,Mew Mew Shop BD,Pet Town BD,Pure Pets Food,Arogga,Rokomari,Daraz (marketplace),Cheapest rival,Market median,Highest genuine selling price,Where our price sits
"Reflex Plus Kitten, Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050","৳1,050","৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,090","৳1,250",Dearer than 3 of 5
Reflex Plus Mother & Baby,Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050","৳1,050","৳1,090",,"৳1,050","৳1,200",,,,"৳1,116",,"৳1,600","৳1,050","৳1,090","৳1,200",Dearer than 5 of 7
Reflex Plus Mother & Baby,Reflex Plus,8 kg,"MONOPOLY, nobody else sells it","৳3,800","৳5,200","৳6,000",SB Pet Shop,13%,"৳1,400",27%,37%,"৳1,075",21%,4.8x,"WE PAY, order clears ৳2,500",,,,,,,,,,,,,,,,No competitor sells it
"Reflex Plus Sterilised, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050",,"৳1,090","৳1,150",,,,,,,,,"৳1,050","৳1,090","৳1,150",Dearer than 3 of 3
"Reflex Plus Sterilised, Chicken",Reflex Plus,15 kg,"MONOPOLY, nobody else sells it","৳6,100","৳8,200","৳9,500",SB Pet Shop,14%,"৳2,100",26%,34%,"৳1,613",20%,5.1x,"WE PAY, order clears ৳2,500",,,,,,,,,,,,,,,,No competitor sells it
"Reflex Plus Adult, Skin & Coat Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050","৳1,200",,,,,,"৳1,545","৳1,050","৳1,090","৳1,250",Dearer than 4 of 7
"Reflex Plus Adult, Choosy Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050",,"৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,145","৳1,250",Dearer than 2 of 4
"Prostar Adult, Chicken",Prostar,15 kg,Bulk,"৳4,100","৳5,400","৳5,500",Pet Elements BD,2%,"৳1,300",24%,32%,৳957,18%,5.6x,"WE PAY, order clears ৳2,500","৳4,900","৳5,200",,,,,,,,,,,"৳4,900","৳5,050","৳5,200",Dearer than 2 of 2
"Prostar Kitten, Chicken",Prostar,15 kg,Bulk,"৳4,100","৳5,400","৳5,500",Pet Elements BD,2%,"৳1,300",24%,32%,৳957,18%,5.6x,"WE PAY, order clears ৳2,500","৳4,900",,,,,,,,,,,,"৳4,900","৳4,900","৳4,900",Dearer than 1 of 1
"Prostar Sterilised, Salmon (Adult & Kitten)",Prostar,1.2 kg,"ADD-ON ONLY, never advertised",৳370,৳500,"None needed, never advertised",,n/a,৳130,26%,35%,n/a,n/a,n/a,Customer pays,৳480,৳470,,,,,,,,,,,৳470,৳475,৳480,Dearer than 2 of 2
"Prostar Adult Sterilised, Salmon",Prostar,1.2 kg,"ADD-ON ONLY, never advertised",৳370,৳500,"None needed, never advertised",,n/a,৳130,26%,35%,n/a,n/a,n/a,Customer pays,৳480,৳470,,,,,,,,,,,৳470,৳475,৳480,Dearer than 2 of 2
